id,valence_cue,valence_tar,BA_answer,BA_resp,excluded
4,neu,emo,B,B,FALSE
4,emo,emo,A,A,FALSE
4,emo,neu,B,A,FALSE
4,emo,neu,A,A,FALSE
4,neu,emo,A,nei,FALSE
4,emo,neu,A,nei,FALSE
4,neu,neu,B,A,FALSE
4,neu,emo,B,nei,FALSE
4,emo,emo,B,A,FALSE
4,neu,emo,B,,FALSE
4,emo,emo,nei,A,FALSE
4,emo,neu,A,A,FALSE
4,emo,neu,B,A,FALSE
4,emo,neu,A,A,FALSE
4,emo,neu,B,A,FALSE
4,neu,emo,B,A,FALSE
4,neu,neu,nei,nei,FALSE
4,neu,emo,B,A,FALSE
4,neu,emo,A,nei,FALSE
4,neu,neu,A,B,FALSE
4,emo,neu,A,A,FALSE
4,neu,emo,A,A,FALSE
4,neu,emo,A,A,FALSE
5,neu,emo,B,,TRUE
5,neu,emo,A,B,TRUE
5,emo,neu,A,nei,TRUE
5,neu,emo,B,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,B,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,B,B,TRUE
5,neu,neu,A,,TRUE
5,emo,neu,A,A,TRUE
5,neu,neu,nei,nei,TRUE
5,neu,emo,A,B,TRUE
5,emo,neu,A,A,TRUE
5,emo,neu,B,nei,TRUE
5,emo,neu,B,,TRUE
5,emo,emo,nei,,TRUE
5,emo,neu,A,,TRUE
5,emo,emo,A,,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,B,A,TRUE
5,emo,neu,B,nei,TRUE
5,neu,neu,B,,TRUE
5,emo,emo,B,,TRUE
5,emo,neu,A,A,TRUE
5,emo,emo,B,,TRUE
5,emo,neu,B,,TRUE
5,neu,neu,B,A,TRUE
5,emo,neu,B,,TRUE
5,emo,neu,A,,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,B,,TRUE
5,neu,emo,A,A,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,neu,emo,B,,TRUE
5,neu,emo,B,A,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,B,,TRUE
5,neu,neu,nei,,TRUE
5,emo,emo,nei,,TRUE
5,emo,neu,A,,TRUE
5,emo,emo,A,,TRUE
5,emo,neu,A,,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,B,,TRUE
5,neu,neu,A,,TRUE
5,neu,neu,B,,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,B,A,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,B,,TRUE
5,emo,emo,B,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,neu,emo,A,,TRUE
5,emo,emo,nei,,TRUE
5,neu,neu,nei,,TRUE
5,neu,emo,B,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,B,,TRUE
5,emo,neu,B,,TRUE
5,neu,emo,A,,TRUE
5,emo,neu,A,,TRUE
5,emo,neu,B,,TRUE
5,neu,neu,A,,TRUE
5,emo,neu,A,A,TRUE
5,emo,neu,A,A,TRUE
5,emo,emo,A,,TRUE
5,neu,emo,A,,TRUE
5,neu,emo,B,,TRUE
5,emo,neu,B,,TRUE
